	mass A			
t	x	y	vx	
0.000	-0.700	1.073	
0.033	-0.700	1.073	6.224E-4
0.067	-0.700	1.073	2.566E-4
0.100	-0.700	1.073	1.150E-3
0.133	-0.700	1.073	5.203E-3
0.167	-0.699	1.073	2.300E-3
0.200	-0.699	1.073	2.443E-3
0.233	-0.699	1.073	5.088E-3
0.267	-0.699	1.073	3.319E-3
0.300	-0.699	1.073	7.030E-2
0.333	-0.694	1.073	-1.920E-2
0.367	-0.700	1.064	-5.159E-2
0.400	-0.698	1.051	6.346E-2
0.433	-0.696	1.022	0.000
0.467	-0.698	0.988	6.987E-3
0.500	-0.696	0.933	5.137E-2
0.533	-0.694	0.888	5.482E-2
0.567	-0.692	0.833	9.890E-2
0.600	-0.688	0.763	9.969E-2
0.633	-0.685	0.711	9.458E-2
0.667	-0.682	0.625	8.673E-2
0.700	-0.679	0.565	7.563E-2
0.733	-0.676	0.468	6.612E-2
0.767	-0.675	0.398	0.126
0.800	-0.668	0.311	0.159
0.833	-0.664	0.189	-9.387E-4
0.867	-0.668	0.103	0.000
0.900	-0.664	7.643E-2	9.754E-2
0.933	-0.662	0.141	
