,mass A,,,
t,x,y,vx,
0.000,-0.698,1.047,
0.033,-0.698,1.047,5.412E-4
0.067,-0.698,1.047,4.975E-4
0.100,-0.698,1.047,1.538E-4
0.133,-0.698,1.047,5.316E-2
0.167,-0.694,1.047,-1.781E-2
0.200,-0.699,1.039,-3.980E-2
0.233,-0.697,1.026,-4.217E-3
0.267,-0.699,0.998,-2.785E-2
0.300,-0.699,0.958,-2.497E-2
0.333,-0.701,0.917,-2.785E-2
0.367,-0.700,0.862,-1.458E-2
0.400,-0.702,0.805,-2.139E-2
0.433,-0.702,0.738,5.929E-3
0.467,-0.701,0.678,1.240E-2
0.500,-0.701,0.588,1.213E-2
0.533,-0.701,0.523,2.292E-2
0.567,-0.700,0.421,-1.742E-2
0.600,-0.702,0.348,5.069E-2
0.633,-0.696,0.253,7.417E-2
0.667,-0.697,0.136,-3.677E-2
0.700,-0.699,5.106E-2,
