	mass A			
t	x	y	vx	
0.000	-0.699	1.072	
0.033	-0.700	1.072	-1.160E-3
0.067	-0.700	1.072	2.725E-4
0.100	-0.700	1.072	-1.045E-3
0.133	-0.700	1.072	7.758E-4
0.167	-0.700	1.072	5.661E-3
0.200	-0.699	1.073	8.464E-2
0.233	-0.694	1.072	5.853E-2
0.267	-0.695	1.062	-3.889E-2
0.300	-0.696	1.042	-6.199E-2
0.333	-0.699	1.011	3.259E-2
0.367	-0.694	0.967	0.109
0.400	-0.692	0.910	0.115
0.433	-0.687	0.871	0.134
0.467	-0.683	0.825	9.065E-2
0.500	-0.681	0.770	8.332E-2
0.533	-0.678	0.709	5.182E-2
0.567	-0.677	0.663	3.803E-2
0.600	-0.675	0.594	6.237E-2
0.633	-0.673	0.514	-7.866E-3
0.667	-0.676	0.399	8.292E-2
0.700	-0.667	0.220	0.170
0.733	-0.664	3.823E-2	0.000
0.767	-0.667	7.645E-2	
