	mass A			
t	x	y	vx	
0.000	-0.695	1.074	
0.033	-0.695	1.073	-2.469E-4
0.067	-0.695	1.074	-6.086E-4
0.100	-0.695	1.074	-7.100E-4
0.133	-0.695	1.074	1.391E-3
0.167	-0.695	1.073	1.364E-3
0.200	-0.695	1.074	-3.418E-4
0.233	-0.695	1.074	3.472E-3
0.267	-0.695	1.074	4.167E-3
0.300	-0.695	1.074	-3.879E-3
0.333	-0.695	1.069	4.206E-2
0.367	-0.692	1.065	6.130E-2
0.400	-0.691	1.049	-1.554E-2
0.433	-0.693	1.023	-3.021E-2
0.467	-0.693	0.985	-1.775E-2
0.500	-0.694	0.936	-2.639E-2
0.533	-0.695	0.894	-6.166E-2
0.567	-0.699	0.847	-7.404E-2
0.600	-0.700	0.792	1.688E-3
0.633	-0.698	0.719	-2.566E-2
0.667	-0.702	0.659	-4.153E-2
0.700	-0.701	0.581	-5.346E-2
0.733	-0.705	0.506	-7.586E-2
0.767	-0.706	0.427	-4.164E-2
0.800	-0.708	0.323	-2.251E-2
0.833	-0.708	0.213	1.914E-2
0.867	-0.707	0.139	-3.109E-2
0.900	-0.710	5.077E-2	-4.663E-2
0.933	-0.710	0.125	
