	mass A			
t	x	y	vx	
0.000	-0.695	1.076	
0.033	-0.692	1.076	-1.391E-2
0.067	-0.696	1.068	-8.259E-2
0.100	-0.697	1.050	-4.172E-2
0.133	-0.699	1.021	1.144E-2
0.167	-0.696	0.974	0.318
0.200	-0.678	0.917	0.437
0.233	-0.667	0.870	0.273
0.267	-0.660	0.817	0.282
0.300	-0.648	0.757	0.330
0.333	-0.638	0.691	0.332
0.367	-0.626	0.618	0.280
0.400	-0.619	0.538	0.227
0.433	-0.611	0.483	0.329
0.467	-0.597	0.367	0.388
0.500	-0.585	0.267	0.354
0.533	-0.573	0.184	0.210
0.567	-0.571	7.603E-2	0.133
0.600	-0.565	5.099E-2	9.735E-2
0.633	-0.565	0.122	
