	mass A			
t	x	y	vx	
0.000	-0.692	1.075	
0.033	-0.692	1.075	-1.529E-2
0.067	-0.693	1.075	-2.816E-2
0.100	-0.694	1.072	-5.425E-2
0.133	-0.697	1.064	-4.767E-2
0.167	-0.697	1.042	0.000
0.200	-0.697	1.004	5.947E-3
0.233	-0.697	0.964	9.574E-3
0.267	-0.696	0.920	1.649E-2
0.300	-0.696	0.867	1.764E-2
0.333	-0.695	0.807	-1.649E-2
0.367	-0.697	0.733	-5.124E-2
0.400	-0.698	0.653	-3.675E-2
0.433	-0.699	0.596	-5.272E-2
0.467	-0.702	0.517	-5.435E-2
0.500	-0.703	0.429	-5.970E-2
0.533	-0.706	0.327	-5.978E-2
0.567	-0.707	0.191	-3.043E-2
0.600	-0.708	7.417E-2	1.181E-2
0.633	-0.706	0.144	
