,mass A,,,
t,x,y,vx,
0.000,-0.694,1.044,
0.033,-0.693,1.044,1.358E-2
0.067,-0.693,1.044,1.114E-3
0.100,-0.693,1.044,1.164E-3
0.133,-0.693,1.044,-3.578E-4
0.167,-0.693,1.044,-2.975E-4
0.200,-0.693,1.044,-9.569E-4
0.233,-0.693,1.044,-7.959E-2
0.267,-0.698,1.045,-1.137E-2
0.300,-0.693,1.038,7.903E-2
0.333,-0.693,1.028,-2.322E-3
0.367,-0.694,0.999,1.389E-2
0.400,-0.692,0.965,2.062E-3
0.433,-0.693,0.925,-6.944E-2
0.467,-0.696,0.813,-2.984E-2
0.500,-0.695,0.682,3.755E-2
0.533,-0.694,0.544,-2.778E-2
0.567,-0.697,0.347,1.800E-2
0.600,-0.693,0.255,0.125
0.633,-0.689,0.162,5.988E-2
0.667,-0.689,8.220E-2,-2.779E-2
0.700,-0.691,6.852E-2,
