	mass A			
t	x	y	vx	
0.000	-0.697	1.073	
0.033	-0.697	1.073	-7.597E-5
0.067	-0.697	1.073	-1.098E-4
0.100	-0.697	1.073	-1.082E-3
0.133	-0.697	1.073	-3.266E-4
0.167	-0.697	1.073	-6.964E-5
0.200	-0.697	1.073	1.888E-3
0.233	-0.697	1.073	-4.189E-2
0.267	-0.700	1.074	-8.219E-3
0.300	-0.697	1.068	2.756E-2
0.333	-0.698	1.059	-1.451E-2
0.367	-0.698	1.033	3.111E-2
0.400	-0.696	0.993	6.117E-2
0.433	-0.694	0.945	5.248E-2
0.467	-0.692	0.903	4.167E-2
0.500	-0.692	0.854	5.640E-2
0.533	-0.689	0.790	2.818E-2
0.567	-0.690	0.652	-2.385E-2
0.600	-0.690	0.504	-4.115E-2
0.633	-0.692	0.386	-2.282E-2
0.667	-0.692	0.320	8.782E-2
0.700	-0.687	0.229	0.171
0.733	-0.680	0.279	0.122
0.767	-0.678	0.285	5.287E-2
0.800	-0.677	0.274	6.251E-2
0.833	-0.674	0.253	
