,mass A,,,
t,x,y,vx,
0.000,-0.700,1.074,
0.033,-0.696,1.072,9.722E-2
0.067,-0.694,1.072,2.770E-2
0.100,-0.694,1.072,-6.791E-4
0.133,-0.694,1.072,-2.728E-4
0.167,-0.694,1.072,4.113E-2
0.200,-0.691,1.072,-1.258E-2
0.233,-0.695,1.063,-0.124
0.267,-0.700,1.050,-6.131E-2
0.300,-0.699,1.022,0.000
0.333,-0.700,0.988,2.427E-2
0.367,-0.697,0.938,1.389E-2
0.400,-0.699,0.877,-1.362E-2
0.433,-0.698,0.819,8.333E-2
0.467,-0.693,0.695,4.324E-2
0.500,-0.695,0.602,2.664E-2
0.533,-0.691,0.527,5.947E-2
0.567,-0.691,0.479,-6.831E-2
0.600,-0.696,0.368,-1.414E-2
0.633,-0.692,0.255,4.167E-2
0.667,-0.693,0.191,-0.122
0.700,-0.700,0.104,-0.139
0.733,-0.702,7.315E-2,
