,mass A,,,
t,x,y,vx,
0.000,-0.696,1.024,
0.033,-0.694,1.022,3.675E-2
0.067,-0.693,1.023,0.000
0.100,-0.694,1.022,0.000
0.133,-0.693,1.024,9.188E-3
0.167,-0.693,1.023,-1.838E-2
0.200,-0.695,1.017,-2.629E-2
0.233,-0.695,1.003,-2.973E-2
0.267,-0.696,0.978,-1.046E-2
0.300,-0.696,0.946,-4.378E-2
0.333,-0.699,0.903,-5.859E-2
0.367,-0.700,0.856,2.757E-2
0.400,-0.698,0.729,2.184E-2
0.433,-0.698,0.665,-2.652E-2
0.467,-0.699,0.574,-2.747E-3
0.500,-0.698,0.504,-2.041E-2
0.533,-0.701,0.421,-7.825E-2
0.567,-0.704,0.346,-1.568E-2
0.600,-0.702,0.259,3.260E-2
0.633,-0.701,0.172,-0.105
0.667,-0.709,2.139E-2,
