	mass A			
t	x	y	vx	
0.000	-0.699	1.076	
0.033	-0.699	1.076	2.225E-3
0.067	-0.699	1.076	-8.734E-4
0.100	-0.699	1.076	-2.944E-4
0.133	-0.699	1.076	1.844E-3
0.167	-0.699	1.077	1.327E-3
0.200	-0.699	1.077	-1.680E-3
0.233	-0.699	1.076	9.370E-4
0.267	-0.699	1.077	-2.906E-2
0.300	-0.701	1.077	-2.773E-2
0.333	-0.701	1.072	1.138E-2
0.367	-0.700	1.061	1.690E-2
0.400	-0.699	1.038	4.667E-2
0.433	-0.697	0.999	6.641E-3
0.467	-0.699	0.941	-0.118
0.500	-0.705	0.888	-0.116
0.533	-0.707	0.832	-2.544E-2
0.567	-0.706	0.771	1.559E-2
0.600	-0.706	0.705	9.338E-3
0.633	-0.706	0.632	-3.614E-3
0.667	-0.706	0.554	3.727E-3
0.700	-0.706	0.473	8.512E-3
0.733	-0.705	0.388	1.366E-2
0.767	-0.705	0.287	-4.243E-2
0.800	-0.708	0.187	-5.451E-2
0.833	-0.708	9.437E-2	4.493E-2
0.867	-0.705	4.356E-2	-1.556E-2
0.900	-0.709	0.114	
